"object_id"	"object_lat"	"object_lon"	"object_date"	"object_time"	"object_link"	"object_depth_min"	"object_depth_max"	"object_annotation_status"	"object_annotation_person_name"	"object_annotation_person_email"	"object_annotation_date"	"object_annotation_time"	"object_annotation_category"	"object_annotation_category_id"	"img_file_name"	"img_rank"	"obj_field_by"	"obj_field_width"	"obj_field_height"	"obj_field_area"	"obj_field_mean"	"obj_field_major"	"obj_field_minor"	"obj_field_feret"	"obj_field_area_exc"	"obj_field_thickr"	"obj_field_esd"	"obj_field_elongation"	"obj_field_range"	"obj_field_meanpos"	"obj_field_centroids"	"obj_field_cv"	"obj_field_sr"	"obj_field_perimareaexc"	"obj_field_feretareaexc"	"obj_field_perimferet"	"obj_field_perimmajor"	"obj_field_circex"	"obj_field_cdexc"	"obj_field_kurt_mean"	"obj_field_skew_mean"	"obj_field_convperim_perim"	"obj_field_convarea_area"	"obj_field_symetrieh_area"	"obj_field_symetriev_area"	"obj_field_nb1_area"	"obj_field_nb2_area"	"obj_field_nb3_area"	"obj_field_nb1_range"	"obj_field_nb2_range"	"obj_field_nb3_range"	"obj_field_median_mean"	"obj_field_median_mean_range"	"obj_field_skeleton_area"	"obj_field_extra"	"sample_id"	"sample_dataportal_descriptor"	"samples_project"	"samples_ship"	"samples_filename"	"samples_samplinggear"	"samples_volconc"	"samples_comment"	"samples_tot_vol"	"process_id"	"process_software"	"process_start_date"	"process_start_time"	"process_analysed_color_channel"	"process_background_method"	"process_nb_images"	"process_rolling"	"process_pixel"	"process_upper"	"process_gamma_value"	"process_vignette_color"	"process_esd_min"	"process_esd_max"	"process_lut_offset"	"process_lut_slope"	"process_remove_objects_on_sides"	"process_stop_n_images"	"process_scale"	"process_stop_after_m_objects"	"process_nb_of_rawfile_images_in_folder"	"process_grey_auto_adjust"	"acq_id"	"acq_instrument"	"acquisitions_cell_type"	"acquisitions_magnification"	"acquisitions_sub_part"
"[t]"	"[f]"	"[f]"	"[t]"	"[t]"	"[t]"	"[f]"	"[f]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[f]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"	"[t]"
"m106_mn01_n1_sml_409"	18.0	-24.4166666666667	"20140420"	"042000"	""	600.0	1000.0	"predicted"	"Application Administrator"	"admin"	"20151111"	"153100"	"t001"	85012	"m106_mn01_n1_sml_409.jpg"	0	10262.0	46.0	94.0	516.0	241.039993286133	50.0999984741211	13.1000003814697	102.599998474121	4.0	2.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"m106_mn01_n1_sml"	""	"2014_m106_sml"	"meteor"	"m106_mn01_n1_sml"	"net"	"13.125"	"xx"	""	"zooprocess_m106_mn01_n1_sml"	"zooprocess_pid_to_ecotaxa_7.23_2017/03/10"	"20150829"	"2243"	""	"rolling_ball"	"2"	"20"	"10.6"	"245"	"2"	"b&w_no_background"	"200"	"1000"	"0"	"1"	"yes"	""	"1"	""	"2"	""	"generic_m106_mn01_n1_sml"	"epson"	"200-500"	"1"	""
"m106_mn01_n1_sml_821"	18.0	-24.4166666666667	"20140420"	"042000"	""	600.0	1000.0	"predicted"	"Application Administrator"	"admin"	"20151111"	"153100"	"Oncaeidae"	78418	"m106_mn01_n1_sml_821.jpg"	0	9811.0	65.0	54.0	1401.0	202.039993286133	70.1999969482422	25.3999996185303	73.1999969482422	0.0	2.5	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"m106_mn01_n1_sml"	""	"2014_m106_sml"	"meteor"	"m106_mn01_n1_sml"	"net"	"13.125"	"xx"	""	"zooprocess_m106_mn01_n1_sml"	"zooprocess_pid_to_ecotaxa_7.23_2017/03/10"	"20150829"	"2243"	""	"rolling_ball"	"2"	"20"	"10.6"	"245"	"2"	"b&w_no_background"	"200"	"1000"	"0"	"1"	"yes"	""	"1"	""	"2"	""	"generic_m106_mn01_n1_sml"	"epson"	"200-500"	"1"	""
"m106_mn01_n1_sml_822"	18.0	-24.4166666666667	"20140420"	"042000"	""	600.0	1000.0	"predicted"	"Application Administrator"	"admin"	"20151111"	"153100"	"Cyclopoida"	45072	"m106_mn01_n1_sml_822.jpg"	0	9866.0	33.0	51.0	733.0	200.25	48.7999992370605	19.1000003814697	51.5999984741211	0.0	2.82399988174438	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"m106_mn01_n1_sml"	""	"2014_m106_sml"	"meteor"	"m106_mn01_n1_sml"	"net"	"13.125"	"xx"	""	"zooprocess_m106_mn01_n1_sml"	"zooprocess_pid_to_ecotaxa_7.23_2017/03/10"	"20150829"	"2243"	""	"rolling_ball"	"2"	"20"	"10.6"	"245"	"2"	"b&w_no_background"	"200"	"1000"	"0"	"1"	"yes"	""	"1"	""	"2"	""	"generic_m106_mn01_n1_sml"	"epson"	"200-500"	"1"	""
"m106_mn01_n1_sml_850"	18.0	-24.4166666666667	"20140420"	"042000"	""	600.0	1000.0	"predicted"	"Application Administrator"	"admin"	"20151111"	"153100"	"other<living"	85011	"m106_mn01_n1_sml_850.jpg"	0	10787.0	42.0	47.0	1583.0	222.789993286133	48.9000015258789	41.2000007629395	53.0999984741211	100.0	2.64299988746643	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"m106_mn01_n1_sml"	""	"2014_m106_sml"	"meteor"	"m106_mn01_n1_sml"	"net"	"13.125"	"xx"	""	"zooprocess_m106_mn01_n1_sml"	"zooprocess_pid_to_ecotaxa_7.23_2017/03/10"	"20150829"	"2243"	""	"rolling_ball"	"2"	"20"	"10.6"	"245"	"2"	"b&w_no_background"	"200"	"1000"	"0"	"1"	"yes"	""	"1"	""	"2"	""	"generic_m106_mn01_n1_sml"	"epson"	"200-500"	"1"	""
"m106_mn01_n1_sml_851"	18.0	-24.4166666666667	"20140420"	"042000"	""	600.0	1000.0	"predicted"	"Application Administrator"	"admin"	"20151111"	"153100"	"Oncaeidae"	78418	"m106_mn01_n1_sml_851.jpg"	0	10823.0	47.0	69.0	1511.0	192.240005493164	60.7000007629395	31.7000007629395	70.5999984741211	3.0	2.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"m106_mn01_n1_sml"	""	"2014_m106_sml"	"meteor"	"m106_mn01_n1_sml"	"net"	"13.125"	"xx"	""	"zooprocess_m106_mn01_n1_sml"	"zooprocess_pid_to_ecotaxa_7.23_2017/03/10"	"20150829"	"2243"	""	"rolling_ball"	"2"	"20"	"10.6"	"245"	"2"	"b&w_no_background"	"200"	"1000"	"0"	"1"	"yes"	""	"1"	""	"2"	""	"generic_m106_mn01_n1_sml"	"epson"	"200-500"	"1"	""
